Crop Name,District Name,Crop Year,Crop Season,Cultivation Area (Hectare),Production (Tonne),Yield (Tonne per Hectare),Cost of Cultivation per Hectare (INR),Revenue per Hectare (INR),Annual Rainfall (mm),Rainfall Category,Organic Phase Code,Organic Phase Label,Rainfall Category Code
Barley,Mangan,2012,Rabi,140,150.0,1.07,18000,10500,1900,Deficient,1,Transition,2
Barley,Mangan,2013,Rabi,140,151.0,1.08,19500,11864,2210,Normal,1,Transition,1
Barley,Mangan,2014,Rabi,140,150.0,1.07,21000,12321,2350,Normal,1,Transition,1
Barley,Mangan,2015,Rabi,140,153.0,1.09,22500,13388,2140,Normal,1,Transition,1
Barley,Mangan,2016,Rabi,140,154.0,1.1,24167,14575,2290,Normal,2,Organic,1
Barley,Mangan,2017,Rabi,145,160.0,1.1,25833,15559,2200,Normal,2,Organic,1
Barley,Mangan,2018,Rabi,140,167.0,1.19,27500,17177,2070,Deficient,2,Organic,2
Barley,Mangan,2019,Rabi,147,175.0,1.19,29250,18155,2270,Normal,2,Organic,1
Barley,Mangan,2020,Rabi,146,174.0,1.19,31000,19068,2130,Normal,2,Organic,1
Barley,Mangan,2021,Rabi,236,232.0,0.98,33000,16073,2340,Normal,2,Organic,1
Barley,Mangan,2022,Rabi,147,176.0,1.2,35000,20773,2100,Normal,2,Organic,1
Barley,Namchi,1997,Rabi,210,180.0,0.86,5100,2314,2750,Normal,0,Conventional,1
Barley,Namchi,1998,Rabi,190,140.0,0.74,5500,1989,2580,Normal,0,Conventional,1
Barley,Namchi,1999,Rabi,200,300.0,1.5,5900,4200,2850,Normal,0,Conventional,1
Barley,Namchi,2000,Rabi,200,200.0,1.0,6300,2900,2480,Normal,0,Conventional,1
Barley,Namchi,2001,Rabi,250,190.0,0.76,6780,2356,2740,Normal,0,Conventional,1
Barley,Namchi,2002,Rabi,200,200.0,1.0,7260,3200,2650,Normal,0,Conventional,1
Barley,Namchi,2003,Rabi,200,300.0,1.5,7740,4950,3320,Excess,1,Transition,0
Barley,Namchi,2004,Rabi,200,300.0,1.5,8220,5100,2850,Normal,1,Transition,1
Barley,Namchi,2005,Rabi,200,320.0,1.6,8700,5680,2440,Normal,1,Transition,1
Barley,Namchi,2006,Rabi,200,200.0,1.0,9633,3800,2380,Deficient,1,Transition,2
Barley,Namchi,2007,Rabi,200,140.0,0.7,10567,3010,2320,Deficient,1,Transition,2
Barley,Namchi,2008,Rabi,150,140.0,0.93,11500,4387,2740,Normal,1,Transition,1
Barley,Namchi,2009,Rabi,240,200.0,0.83,12850,4167,2190,Deficient,1,Transition,2
Barley,Namchi,2010,Rabi,140,117.0,0.84,14200,4847,2710,Normal,1,Transition,1
Barley,Namchi,2011,Rabi,100,80.0,0.8,16100,5080,2870,Normal,1,Transition,1
Barley,Namchi,2012,Rabi,110,100.0,0.91,18000,8909,2300,Deficient,1,Transition,2
Barley,Namchi,2013,Rabi,110,101.0,0.92,19500,10100,2680,Normal,1,Transition,1
Barley,Namchi,2014,Rabi,100,90.0,0.9,21000,10350,2840,Normal,1,Transition,1
Barley,Namchi,2015,Rabi,70,65.0,0.93,22500,11375,2590,Normal,1,Transition,1
Barley,Namchi,2016,Rabi,70,65.0,0.93,24167,12304,2770,Normal,2,Organic,1
Barley,Namchi,2017,Rabi,50,46.0,0.92,25833,12972,2660,Normal,2,Organic,1
Barley,Namchi,2018,Rabi,430,429.0,1.0,27500,14367,2510,Normal,2,Organic,1
Barley,Namchi,2019,Rabi,40,40.0,1.0,29250,15250,2740,Normal,2,Organic,1
Barley,Namchi,2021,Rabi,1310,1291.0,0.99,33000,16113,2840,Normal,2,Organic,1
Barley,Namchi,2022,Rabi,2,2.0,1.0,35000,17350,2540,Normal,2,Organic,1
Barley,Pakyong,2022,Rabi,89,64.0,0.72,35000,12476,2860,Normal,2,Organic,1
Maize,Gangtok,1997,Kharif,9700,14120.0,1.46,5600,3130,3100,Normal,0,Conventional,1
Maize,Gangtok,1998,Kharif,9690,16450.0,1.7,6100,3820,2890,Normal,0,Conventional,1
Maize,Gangtok,1999,Kharif,9700,13473.0,1.39,6600,3125,3210,Normal,0,Conventional,1
Maize,Gangtok,2000,Kharif,10210,15700.0,1.54,7100,3614,2780,Deficient,0,Conventional,2
Maize,Gangtok,2001,Kharif,10210,15700.0,1.54,7640,3767,3080,Normal,0,Conventional,1
Maize,Gangtok,2002,Kharif,8600,12040.0,1.4,8180,3710,2970,Normal,0,Conventional,1
Maize,Gangtok,2003,Kharif,8580,12440.0,1.45,8720,4785,3740,Excess,1,Transition,0
Maize,Gangtok,2004,Kharif,9270,13240.0,1.43,9260,4999,3200,Normal,1,Transition,1
Maize,Gangtok,2005,Kharif,9270,14240.0,1.54,9800,5607,2750,Deficient,1,Transition,2
Maize,Gangtok,2006,Kharif,8760,13730.0,1.57,10933,6113,2680,Deficient,1,Transition,2
Maize,Gangtok,2007,Kharif,8650,9240.0,1.07,12067,5555,2610,Deficient,1,Transition,2
Maize,Gangtok,2008,Kharif,8550,25300.0,2.96,13200,18346,3080,Normal,1,Transition,1
Maize,Gangtok,2009,Kharif,8910,14920.0,1.67,14850,14066,2460,Deficient,1,Transition,2
Maize,Gangtok,2010,Kharif,9070,15664.0,1.73,16500,15198,3050,Normal,1,Transition,1
Maize,Gangtok,2011,Kharif,9040,15710.0,1.74,18750,17031,3230,Normal,1,Transition,1
Maize,Gangtok,2012,Kharif,9030,15350.0,1.7,21000,19974,2590,Deficient,1,Transition,2
Maize,Gangtok,2013,Kharif,9000,15400.0,1.71,23167,22416,3010,Normal,1,Transition,1
Maize,Gangtok,2014,Kharif,8990,15400.0,1.71,25333,22697,3200,Normal,1,Transition,1
Maize,Gangtok,2015,Kharif,8991,15640.0,1.74,27500,23049,2910,Normal,1,Transition,1
Maize,Gangtok,2016,Kharif,8990,15721.0,1.75,29833,23870,3120,Normal,2,Organic,1
Maize,Gangtok,2017,Kharif,8989,15731.0,1.75,32167,24938,3000,Normal,2,Organic,1
Maize,Gangtok,2018,Kharif,8444,14777.0,1.75,34500,29750,2820,Normal,2,Organic,1
Maize,Gangtok,2019,Kharif,8442,14831.0,1.76,36750,30920,3090,Normal,2,Organic,1
Maize,Gangtok,2020,Kharif,8436,14821.0,1.76,39000,32502,2900,Normal,2,Organic,1
Maize,Gangtok,2021,Kharif,8434,14843.0,1.76,42000,32910,3190,Normal,2,Organic,1
Maize,Gangtok,2022,Kharif,3349,5873.0,1.75,45000,34407,2860,Normal,2,Organic,1
Maize,Geyzing,1997,Kharif,13300,19100.0,1.44,5600,3088,2700,Normal,0,Conventional,1
Maize,Geyzing,1998,Kharif,13300,18500.0,1.39,6100,3130,2500,Normal,0,Conventional,1
Maize,Geyzing,1999,Kharif,13000,18200.0,1.4,6600,3150,2780,Normal,0,Conventional,1
Maize,Geyzing,2000,Kharif,13300,19750.0,1.48,7100,3490,2420,Deficient,0,Conventional,2
Maize,Geyzing,2001,Kharif,13470,18590.0,1.38,7640,3381,2680,Normal,0,Conventional,1
Maize,Geyzing,2002,Kharif,13120,19170.0,1.46,8180,3872,2590,Normal,0,Conventional,1
Maize,Geyzing,2003,Kharif,13320,22370.0,1.68,8720,5542,3250,Excess,1,Transition,0
Maize,Geyzing,2004,Kharif,13320,23300.0,1.75,9260,6122,2790,Normal,1,Transition,1
Maize,Geyzing,2005,Kharif,13320,24300.0,1.82,9800,6659,2390,Deficient,1,Transition,2
Maize,Geyzing,2006,Kharif,13000,21300.0,1.64,10933,6390,2310,Deficient,1,Transition,2
Maize,Geyzing,2007,Kharif,13000,18190.0,1.4,12067,7276,2260,Deficient,1,Transition,2
Maize,Geyzing,2008,Kharif,12880,21710.0,1.69,13200,10450,2680,Normal,1,Transition,1
Maize,Geyzing,2009,Kharif,13020,21990.0,1.69,14850,14187,2130,Deficient,1,Transition,2
Maize,Geyzing,2010,Kharif,13870,23163.0,1.67,16500,14696,2650,Normal,1,Transition,1
Maize,Geyzing,2011,Kharif,13860,23280.0,1.68,18750,16461,2810,Normal,1,Transition,1
Maize,Geyzing,2012,Kharif,13880,23710.0,1.71,21000,20072,2250,Deficient,1,Transition,2
Maize,Geyzing,2013,Kharif,13870,24000.0,1.73,23167,22668,2620,Normal,1,Transition,1
Maize,Geyzing,2014,Kharif,13840,24000.0,1.73,25333,22977,2780,Normal,1,Transition,1
Maize,Geyzing,2015,Kharif,13210,23110.0,1.75,27500,23180,2530,Normal,1,Transition,1
Maize,Geyzing,2016,Kharif,12950,22689.0,1.75,29833,23915,2710,Normal,2,Organic,1
Maize,Geyzing,2017,Kharif,13142,23090.0,1.76,32167,25037,2600,Normal,2,Organic,1
Maize,Geyzing,2018,Kharif,13104,23024.0,1.76,34500,29869,2450,Normal,2,Organic,1
Maize,Geyzing,2019,Kharif,13796,24240.0,1.76,36750,30924,2680,Normal,2,Organic,1
Maize,Geyzing,2020,Kharif,13801,24262.0,1.76,39000,32523,2520,Normal,2,Organic,1
Maize,Geyzing,2021,Kharif,13700,24098.0,1.76,42000,32893,2770,Normal,2,Organic,1
Maize,Geyzing,2022,Kharif,6752,11695.0,1.73,45000,33983,2480,Normal,2,Organic,1
Maize,Mangan,1997,Kharif,3093,4440.0,1.44,5600,3086,2280,Normal,0,Conventional,1
Maize,Mangan,1998,Kharif,3093,2230.0,0.72,6100,1622,2140,Normal,0,Conventional,1
Maize,Mangan,1999,Kharif,3093,4161.0,1.35,6600,3027,2350,Normal,0,Conventional,1
Maize,Mangan,2000,Kharif,3093,4561.0,1.47,7100,3465,2060,Deficient,0,Conventional,2
Maize,Mangan,2001,Kharif,3030,3924.0,1.3,7640,3173,2260,Normal,0,Conventional,1
Maize,Mangan,2002,Kharif,2500,3250.0,1.3,8180,3445,2190,Normal,0,Conventional,1
Maize,Mangan,2003,Kharif,2300,3490.0,1.52,8720,5007,2760,Normal,1,Transition,1
Maize,Mangan,2004,Kharif,1610,2990.0,1.86,9260,6500,2350,Normal,1,Transition,1
Maize,Mangan,2005,Kharif,1610,3200.0,1.99,9800,7255,2020,Deficient,1,Transition,2
Maize,Mangan,2006,Kharif,1810,3000.0,1.66,10933,6464,1960,Deficient,1,Transition,2
Maize,Mangan,2007,Kharif,2750,3760.0,1.37,12067,7110,1920,Deficient,1,Transition,2
Maize,Mangan,2008,Kharif,2770,4430.0,1.6,13200,9916,2250,Normal,1,Transition,1
Maize,Mangan,2009,Kharif,2920,3970.0,1.36,14850,11421,1810,Deficient,1,Transition,2
Maize,Mangan,2010,Kharif,2900,4051.0,1.4,16500,12293,2230,Normal,1,Transition,1
Maize,Mangan,2011,Kharif,2760,3850.0,1.39,18750,13670,2370,Normal,1,Transition,1
Maize,Mangan,2012,Kharif,2750,4120.0,1.5,21000,17604,1900,Deficient,1,Transition,2
Maize,Mangan,2013,Kharif,2750,4225.0,1.54,23167,20126,2210,Normal,1,Transition,1
Maize,Mangan,2014,Kharif,2750,4290.0,1.56,25333,20670,2350,Normal,1,Transition,1
Maize,Mangan,2015,Kharif,2754,4380.0,1.59,27500,21073,2140,Normal,1,Transition,1
Maize,Mangan,2016,Kharif,2668,4265.0,1.6,29833,21821,2290,Normal,2,Organic,1
Maize,Mangan,2017,Kharif,2827,4523.0,1.6,32167,22799,2200,Normal,2,Organic,1
Maize,Mangan,2018,Kharif,2750,4400.0,1.6,34500,27200,2070,Deficient,2,Organic,2
Maize,Mangan,2019,Kharif,2829,4529.0,1.6,36750,28176,2270,Normal,2,Organic,1
Maize,Mangan,2020,Kharif,2828,4538.0,1.6,39000,29686,2130,Normal,2,Organic,1
Maize,Mangan,2021,Kharif,2844,4573.0,1.61,42000,30069,2340,Normal,2,Organic,1
Maize,Mangan,2022,Kharif,2829,4549.0,1.61,45000,31549,2100,Normal,2,Organic,1
Maize,Namchi,1997,Kharif,13300,18050.0,1.36,5600,2918,2750,Normal,0,Conventional,1
Maize,Namchi,1998,Kharif,13300,16620.0,1.25,6100,2812,2580,Normal,0,Conventional,1
Maize,Namchi,1999,Kharif,13300,17000.0,1.28,6600,2876,2850,Normal,0,Conventional,1
Maize,Namchi,2000,Kharif,13300,19600.0,1.47,7100,3463,2480,Normal,0,Conventional,1
Maize,Namchi,2001,Kharif,13400,18800.0,1.4,7640,3437,2740,Normal,0,Conventional,1
Maize,Namchi,2002,Kharif,12500,18750.0,1.5,8180,3975,2650,Normal,0,Conventional,1
Maize,Namchi,2003,Kharif,12500,18750.0,1.5,8720,4950,3320,Excess,1,Transition,0
Maize,Namchi,2004,Kharif,12500,18750.0,1.5,9260,5250,2850,Normal,1,Transition,1
Maize,Namchi,2005,Kharif,1250,19360.0,15.49,9800,56531,2440,Normal,1,Transition,1
Maize,Namchi,2006,Kharif,17280,26860.0,1.55,10933,6062,2380,Deficient,1,Transition,2
Maize,Namchi,2007,Kharif,15370,27930.0,1.82,12067,9449,2320,Deficient,1,Transition,2
Maize,Namchi,2008,Kharif,15000,14300.0,0.95,13200,5911,2740,Normal,1,Transition,1
Maize,Namchi,2009,Kharif,14650,23810.0,1.63,14850,13652,2190,Deficient,1,Transition,2
Maize,Namchi,2010,Kharif,14330,233145.0,16.27,16500,143173,2710,Normal,1,Transition,1
Maize,Namchi,2011,Kharif,14290,23370.0,1.64,18750,16027,2870,Normal,1,Transition,1
Maize,Namchi,2012,Kharif,14310,24770.0,1.73,21000,20339,2300,Deficient,1,Transition,2
Maize,Namchi,2013,Kharif,14310,25200.0,1.76,23167,23069,2680,Normal,1,Transition,1
Maize,Namchi,2014,Kharif,14300,25200.0,1.76,25333,23350,2840,Normal,1,Transition,1
Maize,Namchi,2015,Kharif,14000,25180.0,1.8,27500,23831,2590,Normal,1,Transition,1
Maize,Namchi,2016,Kharif,13890,25317.0,1.82,29833,24880,2770,Normal,2,Organic,1
Maize,Namchi,2017,Kharif,13500,24624.0,1.82,32167,25992,2660,Normal,2,Organic,1
Maize,Namchi,2018,Kharif,13480,24588.0,1.82,34500,31009,2510,Normal,2,Organic,1
Maize,Namchi,2019,Kharif,13320,24308.0,1.82,36750,32119,2740,Normal,2,Organic,1
Maize,Namchi,2020,Kharif,13325,24317.0,1.82,39000,33761,2580,Normal,2,Organic,1
Maize,Namchi,2021,Kharif,13300,24350.0,1.83,42000,34236,2840,Normal,2,Organic,1
Maize,Namchi,2022,Kharif,13237,24235.0,1.83,45000,35921,2540,Normal,2,Organic,1
Maize,Pakyong,2022,Kharif,5076,9012.0,1.78,45000,34834,2860,Normal,2,Organic,1
Maize,Soreng,2022,Kharif,6280,11682.0,1.86,45000,36497,2480,Normal,2,Organic,1
Other Rabi Pulses,Gangtok,1997,Rabi,750,810.0,1.08,5100,2916,3100,Normal,0,Conventional,1
Other Rabi Pulses,Gangtok,1998,Rabi,750,840.0,1.12,5500,3024,2890,Normal,0,Conventional,1
Other Rabi Pulses,Geyzing,1997,Rabi,850,1010.0,1.19,5100,3208,2700,Normal,0,Conventional,1
Other Rabi Pulses,Geyzing,1998,Rabi,840,1000.0,1.19,5500,3214,2500,Normal,0,Conventional,1
Other Rabi Pulses,Mangan,1997,Rabi,60,60.0,1.0,5100,2700,2280,Normal,0,Conventional,1
Other Rabi Pulses,Mangan,1998,Rabi,60,56.0,0.93,5500,2520,2140,Normal,0,Conventional,1
Other Rabi Pulses,Namchi,1997,Rabi,650,770.0,1.18,5100,3198,2750,Normal,0,Conventional,1
Other Rabi Pulses,Namchi,1998,Rabi,650,650.0,1.0,5500,2700,2580,Normal,0,Conventional,1
Other Cereals,Gangtok,2000,Rabi,540,400.0,0.74,7100,1741,2780,Deficient,0,Conventional,2
Other Cereals,Gangtok,2004,Rabi,560,470.0,0.84,9260,2938,3200,Normal,1,Transition,1
Other Cereals,Gangtok,2005,Rabi,560,500.0,0.89,9800,3259,2750,Deficient,1,Transition,2
Other Cereals,Gangtok,2006,Rabi,650,580.0,0.89,10933,3480,2680,Deficient,1,Transition,2
Other Cereals,Gangtok,2007,Rabi,370,260.0,0.7,12067,3654,2610,Deficient,1,Transition,2
Other Cereals,Gangtok,2008,Rabi,1700,1600.0,0.94,13200,5835,3080,Normal,1,Transition,1
Other Cereals,Gangtok,2009,Rabi,1720,1610.0,0.94,14850,7863,2460,Deficient,1,Transition,2
Other Cereals,Gangtok,2010,Rabi,1660,1554.0,0.94,16500,8238,3050,Normal,1,Transition,1
Other Cereals,Gangtok,2016,Kharif,1190,1188.0,1.0,29833,13627,3120,Normal,2,Organic,1
Other Cereals,Gangtok,2017,Kharif,1234,1232.0,1.0,32167,14227,3000,Normal,2,Organic,1
Other Cereals,Gangtok,2018,Kharif,1220,1218.0,1.0,34500,16972,2820,Normal,2,Organic,1
Other Cereals,Gangtok,2019,Kharif,1219,1227.0,1.01,36750,17716,3090,Normal,2,Organic,1
Other Cereals,Gangtok,2020,Kharif,1196,1204.0,1.01,39000,18624,2900,Normal,2,Organic,1
Other Cereals,Gangtok,2021,Kharif,1199,120.9,0.1,42000,1886,3190,Normal,2,Organic,1
Other Cereals,Gangtok,2022,Kharif,381,387.0,1.02,45000,19929,2860,Normal,2,Organic,1
Other Cereals,Geyzing,2000,Rabi,680,530.0,0.78,7100,1832,2420,Deficient,0,Conventional,2
Other Cereals,Geyzing,2004,Rabi,670,550.0,0.82,9260,2873,2790,Normal,1,Transition,1
Other Cereals,Geyzing,2005,Rabi,670,560.0,0.84,9800,3051,2390,Deficient,1,Transition,2
Other Cereals,Geyzing,2006,Rabi,770,750.0,0.97,10933,3799,2310,Deficient,1,Transition,2
Other Cereals,Geyzing,2007,Rabi,380,380.0,1.0,12067,5200,2260,Deficient,1,Transition,2
Other Cereals,Geyzing,2008,Rabi,2160,2130.0,0.99,13200,6114,2680,Normal,1,Transition,1
Other Cereals,Geyzing,2009,Rabi,1030,900.0,0.87,14850,7340,2130,Deficient,1,Transition,2
Other Cereals,Geyzing,2010,Rabi,1150,1005.0,0.87,16500,7690,2650,Normal,1,Transition,1
Other Cereals,Geyzing,2016,Kharif,765,711.0,0.93,29833,12686,2710,Normal,2,Organic,1
Other Cereals,Geyzing,2017,Kharif,670,623.0,0.93,32167,13250,2600,Normal,2,Organic,1
Other Cereals,Geyzing,2018,Kharif,266,247.0,0.93,34500,15786,2450,Normal,2,Organic,1
Other Cereals,Geyzing,2019,Kharif,393,365.0,0.93,36750,16346,2680,Normal,2,Organic,1
Other Cereals,Geyzing,2020,Kharif,393,370.0,0.94,39000,17417,2520,Normal,2,Organic,1
Other Cereals,Geyzing,2021,Kharif,395,37.2,0.09,42000,1761,2770,Normal,2,Organic,1
Other Cereals,Geyzing,2022,Kharif,210,199.0,0.95,45000,18592,2480,Normal,2,Organic,1
Other Cereals,Mangan,2000,Rabi,190,140.0,0.74,7100,1732,2060,Deficient,0,Conventional,2
Other Cereals,Mangan,2004,Rabi,200,120.0,0.6,9260,2100,2350,Normal,1,Transition,1
Other Cereals,Mangan,2005,Rabi,200,140.0,0.7,9800,2555,2020,Deficient,1,Transition,2
Other Cereals,Mangan,2006,Rabi,200,140.0,0.7,10933,2730,1960,Deficient,1,Transition,2
Other Cereals,Mangan,2007,Rabi,60,50.0,0.83,12067,4333,1920,Deficient,1,Transition,2
Other Cereals,Mangan,2008,Rabi,300,280.0,0.93,13200,5787,2250,Normal,1,Transition,1
Other Cereals,Mangan,2009,Rabi,820,680.0,0.83,14850,6966,1810,Deficient,1,Transition,2
Other Cereals,Mangan,2010,Rabi,200,166.0,0.83,16500,7304,2230,Normal,1,Transition,1
Other Cereals,Mangan,2016,Kharif,211,205.0,0.97,29833,13262,2290,Normal,2,Organic,1
Other Cereals,Mangan,2017,Kharif,211,205.0,0.97,32167,13845,2200,Normal,2,Organic,1
Other Cereals,Mangan,2018,Kharif,190,185.0,0.97,34500,16553,2070,Deficient,2,Organic,2
Other Cereals,Mangan,2019,Kharif,214,208.0,0.97,36750,17107,2270,Normal,2,Organic,1
Other Cereals,Mangan,2020,Kharif,213,209.0,0.98,39000,18153,2130,Normal,2,Organic,1
Other Cereals,Mangan,2021,Kharif,236,232.0,0.98,42000,18383,2340,Normal,2,Organic,1
Other Cereals,Mangan,2022,Kharif,214,209.0,0.98,45000,19162,2100,Normal,2,Organic,1
Other Cereals,Namchi,2000,Rabi,580,460.0,0.79,7100,1864,2480,Normal,0,Conventional,1
Other Cereals,Namchi,2004,Rabi,580,420.0,0.72,9260,2534,2850,Normal,1,Transition,1
Other Cereals,Namchi,2005,Rabi,580,440.0,0.76,9800,2769,2440,Normal,1,Transition,1
Other Cereals,Namchi,2006,Rabi,420,320.0,0.76,10933,2971,2380,Deficient,1,Transition,2
Other Cereals,Namchi,2007,Rabi,450,270.0,0.6,12067,3120,2320,Deficient,1,Transition,2
Other Cereals,Namchi,2008,Rabi,1380,1340.0,0.97,13200,6020,2740,Normal,1,Transition,1
Other Cereals,Namchi,2009,Rabi,1970,1880.0,0.95,14850,8016,2190,Deficient,1,Transition,2
Other Cereals,Namchi,2010,Rabi,1380,1332.0,0.97,16500,8494,2710,Normal,1,Transition,1
Other Cereals,Namchi,2016,Kharif,1400,1372.0,0.98,29833,13377,2770,Normal,2,Organic,1
Other Cereals,Namchi,2017,Kharif,1320,1294.0,0.98,32167,13969,2660,Normal,2,Organic,1
Other Cereals,Namchi,2018,Kharif,1320,1294.0,0.98,34500,16665,2510,Normal,2,Organic,1
Other Cereals,Namchi,2019,Kharif,1310,1288.0,0.98,36750,17304,2740,Normal,2,Organic,1
